mechanism,reference_condition,candidate_condition,correct_peer_count,outcome,pairs,tasks,reference_rate,candidate_rate,paired_difference,task_ci95_low,task_ci95_high,task_bootstrap_p,task_bootstrap_q_bh
target_laundering,direct,relayed,1,is_target,60,20,0.08333333333333333,0.21666666666666667,0.13333333333333333,0.06666666666666667,0.2,0.00039996000399960006,0.0017998200179982003
target_laundering,direct,relayed,1,is_correct,60,20,0.8833333333333333,0.7166666666666667,-0.16666666666666666,-0.2504166666666663,-0.06666666666666667,0.0029997000299970002,0.010798920107989201
target_laundering,direct,relayed,1,is_unparsed,60,20,0.03333333333333333,0.05,0.016666666666666666,-0.05,0.08333333333333333,0.8167183281671833,0.8503149685031497
target_laundering,direct,relayed,2,is_target,60,20,0.0,0.18333333333333332,0.18333333333333332,0.08333333333333333,0.29999999999999993,0.00019998000199980003,0.0017998200179982003
target_laundering,direct,relayed,2,is_correct,60,20,0.9,0.7,-0.2,-0.36666666666666664,-0.05,0.014198580141985802,0.04259574042595741
target_laundering,direct,relayed,2,is_unparsed,60,20,0.06666666666666667,0.11666666666666667,0.05,-0.03333333333333334,0.15,0.39016098390160986,0.5852414758524148
target_laundering,direct,relayed,all,is_target,120,20,0.041666666666666664,0.2,0.15833333333333333,0.09166666666666666,0.2333333333333333,0.00019998000199980003,0.0017998200179982003
target_laundering,direct,relayed,all,is_correct,120,20,0.8916666666666667,0.7083333333333334,-0.18333333333333332,-0.2833333333333333,-0.08333333333333333,0.00039996000399960006,0.0017998200179982003
target_laundering,direct,relayed,all,is_unparsed,120,20,0.05,0.08333333333333333,0.03333333333333333,-0.03333333333333333,0.1,0.3755624437556244,0.5852414758524148
history_maturity,initial,deliberated,1,is_target,60,20,0.2,0.15,-0.05,-0.16666666666666669,0.06666666666666667,0.47535246475352466,0.640478809261931
history_maturity,initial,deliberated,1,is_correct,60,20,0.6833333333333333,0.65,-0.03333333333333333,-0.15,0.09999999999999999,0.6297370262973703,0.7556844315568443
history_maturity,initial,deliberated,1,is_unparsed,60,20,0.1,0.2,0.1,0.016666666666666666,0.2,0.0481951804819518,0.12393046409644749
history_maturity,initial,deliberated,2,is_target,60,20,0.15,0.13333333333333333,-0.016666666666666666,-0.09999999999999999,0.06666666666666667,0.8369163083691631,0.8503149685031497
history_maturity,initial,deliberated,2,is_correct,60,20,0.7,0.8,0.1,-0.03333333333333334,0.24999999999999994,0.1797820217978202,0.3595640435956404
history_maturity,initial,deliberated,2,is_unparsed,60,20,0.15,0.06666666666666667,-0.08333333333333333,-0.2,0.03333333333333333,0.17938206179382063,0.3595640435956404
history_maturity,initial,deliberated,all,is_target,120,20,0.175,0.14166666666666666,-0.03333333333333333,-0.09166666666666666,0.025,0.3127687231276872,0.562983701629837
history_maturity,initial,deliberated,all,is_correct,120,20,0.6916666666666667,0.725,0.03333333333333333,-0.058333333333333334,0.125,0.4981501849815019,0.640478809261931
history_maturity,initial,deliberated,all,is_unparsed,120,20,0.125,0.13333333333333333,0.008333333333333333,-0.06666666666666668,0.09166666666666666,0.8503149685031497,0.8503149685031497
