n,outcome,metric,estimate,ci95_low,ci95_high,tasks,m_levels
5,u0,slope_per_edge,-0.0014725274725274592,-0.004527472527472515,0.001362637362637359,50,13
5,u0,curve_spearman,-0.28335652665857564,-0.5392213169606428,0.22008273915229176,50,13
5,utility,slope_per_edge,0.0028131868131868157,0.0007252747252747174,0.004945054945054941,50,13
5,utility,curve_spearman,0.705236835819403,0.04683213362863223,0.8076923076923077,50,13
5,delta_u,slope_per_edge,0.004285714285714287,0.0009450549450549456,0.007934065934065935,50,13
5,delta_u,curve_spearman,0.6153846153846153,0.07427792446389848,0.7618050917989194,50,13
5,robustness,slope_per_edge,0.0038571428571428533,0.0012416208791208854,0.00638475274725277,50,13
5,robustness,curve_spearman,0.7582417582417583,0.3186813186813187,0.8956043956043955,50,13
8,u0,slope_per_edge,-1.4285714285718792e-05,-0.0008476190476190443,0.0007761904761904762,50,15
8,u0,curve_spearman,-0.07526930068692866,-0.4565957992041929,0.4587981731922289,50,15
8,utility,slope_per_edge,0.0003999999999999998,-0.0003047619047619017,0.0010809523809523838,50,15
8,utility,curve_spearman,0.396774157198432,-0.08579283995496356,0.6240241170061362,50,15
8,delta_u,slope_per_edge,0.0004142857142857142,-0.000657142857142857,0.0014619047619047621,50,15
8,delta_u,curve_spearman,0.24150306979186412,-0.21150136976165784,0.6112602977015015,50,15
8,robustness,slope_per_edge,0.000943537414965982,0.0002965816326530602,0.0014966156462585052,50,15
8,robustness,curve_spearman,0.831099527576603,0.2607142857142857,0.914285714285714,50,15
