condition,support_scope,candidate_law,reference_law,metric,loss_difference,ci95_low,ci95_high,tasks
attack,all,pooled_balanced,attack_specific,multiclass_brier,0.00048346790727661724,6.759217907376149e-05,0.0008955810061250648,50
attack,all,pooled_balanced,attack_specific,multiclass_log_loss,0.0008437114567878063,-0.0007482488142768156,0.002514807026238829,50
attack,all,pooled_balanced,attack_specific,correct_brier,0.0002600324563235582,4.844319146920319e-05,0.00047291530595971825,50
attack,all,pooled_balanced,attack_specific,correct_log_loss,0.0011747988477748487,5.1585046931906456e-05,0.0024512730215033606,50
attack,all,pooled_balanced,attack_specific,target_brier,0.00021296635530819552,9.530908147970222e-05,0.00034883216324641236,50
attack,all,pooled_balanced,attack_specific,target_log_loss,0.0006179643844325647,-0.0004223863606826178,0.0017557169029151318,50
attack,all,clean_specific,attack_specific,multiclass_brier,0.02002559733106917,0.012182443776400051,0.02956160226266524,50
attack,all,clean_specific,attack_specific,multiclass_log_loss,0.45895075879085206,0.31669342062108247,0.6243246783032577,50
attack,all,clean_specific,attack_specific,correct_brier,0.006448477445054806,0.0037130993706488034,0.009842410610662995,50
attack,all,clean_specific,attack_specific,correct_log_loss,0.028398464108338958,0.016611219295215644,0.04250581073396646,50
attack,all,clean_specific,attack_specific,target_brier,0.011196947087104066,0.006792298955476757,0.01666425039540922,50
attack,all,clean_specific,attack_specific,target_log_loss,0.45334875113304024,0.3124075340650165,0.6170105585318485,50
attack,shared_cell,pooled_balanced,attack_specific,multiclass_brier,-0.00034168295850725664,-0.0006346919352336078,-6.066250776994267e-05,50
attack,shared_cell,pooled_balanced,attack_specific,multiclass_log_loss,-0.002369718228127437,-0.0037146876782780816,-0.0012528464074951686,50
attack,shared_cell,pooled_balanced,attack_specific,correct_brier,-0.00012657869445591136,-0.0002697515923580822,2.0022964306288116e-05,50
attack,shared_cell,pooled_balanced,attack_specific,correct_log_loss,-0.0007343558455438726,-0.00115872256775659,-0.00028489340435119704,50
attack,shared_cell,pooled_balanced,attack_specific,target_brier,-1.054335351821816e-05,-1.3982329027472029e-05,-7.163879332239883e-06,50
attack,shared_cell,pooled_balanced,attack_specific,target_log_loss,-0.0009677641854577216,-0.0012309632268437142,-0.0006514598104424993,50
attack,shared_cell,clean_specific,attack_specific,multiclass_brier,-0.0006129487330523634,-0.0011377221003565311,-0.00011315255690701972,50
attack,shared_cell,clean_specific,attack_specific,multiclass_log_loss,0.0021399592958069842,-0.0029357481785563947,0.008273964326676377,50
attack,shared_cell,clean_specific,attack_specific,correct_brier,-0.0002785439414204125,-0.0005282252999748502,-1.980114261961151e-05,50
attack,shared_cell,clean_specific,attack_specific,correct_log_loss,-0.0013943839945891035,-0.002305949553517538,-0.00044373562967672304,50
attack,shared_cell,clean_specific,attack_specific,target_brier,-1.3442094918526246e-05,-2.096193142491974e-05,-4.803454020334522e-06,50
attack,shared_cell,clean_specific,attack_specific,target_log_loss,0.0044035897496279095,-0.00016380604935049278,0.010282086301870372,50
clean,all,pooled_balanced,clean_specific,multiclass_brier,8.467141417217512e-05,-0.00012737431681893443,0.00030456070372815,50
clean,all,pooled_balanced,clean_specific,multiclass_log_loss,0.002405114130951949,0.001346645873426633,0.003627191868026997,50
clean,all,pooled_balanced,clean_specific,correct_brier,6.697384343447403e-06,-0.0001100949850244347,0.00012020485586891418,50
clean,all,pooled_balanced,clean_specific,correct_log_loss,-9.42067201288943e-05,-0.0007737228871273176,0.0005362775200986621,50
clean,all,pooled_balanced,clean_specific,target_brier,7.108271349347007e-06,5.790954934971566e-06,8.577851646794964e-06,50
clean,all,pooled_balanced,clean_specific,target_log_loss,0.0019090429476957959,0.0017164763115858788,0.002110998219510736,50
clean,all,attack_specific,clean_specific,multiclass_brier,0.00033918700305068646,-0.00014829030851344963,0.0008403493420176849,50
clean,all,attack_specific,clean_specific,multiclass_log_loss,0.005072248553285114,0.0028539671073713434,0.0076469826369772575,50
clean,all,attack_specific,clean_specific,correct_brier,5.655225938514778e-05,-0.00019539017480804706,0.0003010939859509685,50
clean,all,attack_specific,clean_specific,correct_log_loss,0.0003086178298013753,-0.0007963627357096526,0.0013665910547664903,50
clean,all,attack_specific,clean_specific,target_brier,1.8834722282771383e-05,1.5136377577121003e-05,2.3013389466806324e-05,50
clean,all,attack_specific,clean_specific,target_log_loss,0.0032037235220786216,0.0028806520266482674,0.003546427539651731,50
clean,shared_cell,pooled_balanced,clean_specific,multiclass_brier,0.00012317730030955061,-9.296151400863148e-05,0.0003634855007902168,50
clean,shared_cell,pooled_balanced,clean_specific,multiclass_log_loss,0.0024631820532764444,0.0014135436844512528,0.0036942690687237598,50
clean,shared_cell,pooled_balanced,clean_specific,correct_brier,1.4081763682549332e-05,-9.940868227698043e-05,0.00012256128829985486,50
clean,shared_cell,pooled_balanced,clean_specific,correct_log_loss,-6.605579008516688e-05,-0.0007053980754032212,0.0005477222965455902,50
clean,shared_cell,pooled_balanced,clean_specific,target_brier,7.074114443571516e-06,5.7659773263594e-06,8.5018906101783e-06,50
clean,shared_cell,pooled_balanced,clean_specific,target_log_loss,0.0019074012538240171,0.0017230327704956683,0.002108779069325255,50
clean,shared_cell,attack_specific,clean_specific,multiclass_brier,0.0003894502456485204,-8.885198812133369e-05,0.0009101180244946462,50
clean,shared_cell,attack_specific,clean_specific,multiclass_log_loss,0.0051326168596460145,0.002936622829047271,0.007775876912536251,50
clean,shared_cell,attack_specific,clean_specific,correct_brier,6.0486689392100274e-05,-0.00017702338828155453,0.0002903484371108965,50
clean,shared_cell,attack_specific,clean_specific,correct_log_loss,0.0003227710026310937,-0.0007444676331295639,0.001347691053782111,50
clean,shared_cell,attack_specific,clean_specific,target_brier,1.878981304821604e-05,1.511862714021661e-05,2.30067256544358e-05,50
clean,shared_cell,attack_specific,clean_specific,target_log_loss,0.003205083916309169,0.0028836425253846686,0.0035416639510238265,50
