graph_id,n,m,observed_u0,predicted_u0,observed_utility,predicted_utility,observed_robustness,predicted_robustness,observed_delta_u,predicted_delta_u,observed_pareto,predicted_pareto
g-n5-m10-5e58e37c04b11937,5,10,0.84,0.80986328125,0.92,0.8616796875,0.785,0.81317626953125,0.08,0.05181640625,True,False
g-n5-m11-05edb43632b77534,5,11,0.82,0.811083984375,0.84,0.86021484375,0.75,0.8141357421875,0.02,0.049130859375,False,False
g-n5-m11-afe8c0d10bfce738,5,11,0.76,0.81212890625,0.88,0.8636328125,0.815,0.8119873046875,0.12,0.05150390625,False,False
g-n5-m12-0bb6b05790111cbe,5,12,0.76,0.81166015625,0.86,0.867646484375,0.805,0.82202880859375,0.0999999999999999,0.055986328125,False,False
g-n8-m7-6e7ccb99b51d70e6,8,7,0.82,0.815419921875,0.86,0.86142578125,0.8,0.8390959821428572,0.04,0.046005859375,False,False
g-n8-m7-4d70a7e46b8f9b19,8,7,0.84,0.8095703125,0.82,0.863447265625,0.8257142857142857,0.8498967633928571,-0.02,0.0538769531249999,False,False
g-n8-m10-ddd34129427653f9,8,10,0.78,0.805947265625,0.9,0.860673828125,0.8171428571428572,0.8482993861607143,0.12,0.0547265625,False,False
g-n8-m13-82d85e4a85ac7d37,8,13,0.86,0.808984375,0.9,0.863271484375,0.8514285714285714,0.8452469308035714,0.04,0.054287109375,False,False
g-n8-m19-9a3e1fe574ffec54,8,19,0.86,0.804833984375,0.86,0.841796875,0.7542857142857143,0.8027943638392857,0.0,0.036962890625,False,False
g-n8-m19-ea16e2aac7fcde8d,8,19,0.8,0.8148828125,0.84,0.8740234375,0.8171428571428572,0.8517075892857143,0.0399999999999999,0.0591406249999999,False,False
g-n8-m22-65732e81a3ba60bf,8,22,0.84,0.804365234375,0.88,0.87142578125,0.8571428571428571,0.8545675223214285,0.04,0.067060546875,False,False
g-n8-m28-f23b3b6ef9ec14e9,8,28,0.8,0.813583984375,0.92,0.87734375,0.8428571428571429,0.8548744419642857,0.12,0.0637597656249999,False,False
g-n8-m31-e3ab20e8dec9a928,8,31,0.76,0.81396484375,0.84,0.8736328125,0.8428571428571429,0.8509723772321428,0.0799999999999999,0.05966796875,False,False
g-n8-m37-57be1b42cda2e405,8,37,0.8,0.805361328125,0.86,0.870966796875,0.8485714285714285,0.8561704799107143,0.0599999999999999,0.0656054687499999,False,False
g-n8-m37-5e3ad2be64a1587c,8,37,0.8,0.813984375,0.84,0.879892578125,0.8514285714285714,0.8492201450892857,0.0399999999999999,0.065908203125,False,False
g-n8-m40-efbaa3845c657cb5,8,40,0.8,0.806884765625,0.86,0.870302734375,0.8457142857142858,0.8468959263392857,0.0599999999999999,0.06341796875,False,False
g-n8-m40-cb7c5ae1af02d26f,8,40,0.8,0.812666015625,0.82,0.8718359375,0.84,0.8478250558035715,0.0199999999999999,0.059169921875,False,False
g-n8-m40-00ccded536ad3add,8,40,0.84,0.808515625,0.9,0.87607421875,0.8457142857142858,0.8506263950892857,0.06,0.06755859375,False,False
g-n8-m46-a2dbfe4d025e9be3,8,46,0.82,0.810576171875,0.9,0.876123046875,0.8542857142857143,0.8458217075892858,0.08,0.065546875,False,False
g-n5-m5-cef24b1cb9c1a559,5,5,0.8,0.812353515625,0.82,0.84611328125,0.74,0.7642822265625,0.0199999999999999,0.0337597656249999,False,False
g-n5-m6-f65e6f97236d5be0,5,6,0.74,0.80837890625,0.82,0.84451171875,0.77,0.76389404296875,0.0799999999999999,0.0361328125,False,False
g-n5-m6-1461589103060e5e,5,6,0.76,0.80439453125,0.78,0.83154296875,0.8,0.74886474609375,0.02,0.0271484374999999,False,False
g-n5-m6-0e9507ed03500179,5,6,0.88,0.808466796875,0.9,0.852529296875,0.8,0.805966796875,0.02,0.0440625,False,False
g-n5-m7-9264fdd591409d04,5,7,0.84,0.7940234375,0.76,0.838349609375,0.815,0.8167919921875,-0.0799999999999999,0.0443261718749999,False,False
g-n5-m10-07bc7b166c4440b6,5,10,0.78,0.809453125,0.84,0.85990234375,0.81,0.800205078125,0.0599999999999999,0.0504492187499999,False,False
g-n5-m10-0bea799c46f9500b,5,10,0.86,0.80650390625,0.82,0.85583984375,0.795,0.81257568359375,-0.04,0.0493359374999999,False,False
g-n5-m12-8d8e3d0562f39139,5,12,0.84,0.8039453125,0.84,0.85416015625,0.825,0.8093798828125,0.0,0.0502148437499999,False,False
g-n5-m13-a72a824960feac0a,5,13,0.84,0.804443359375,0.88,0.859912109375,0.785,0.82423095703125,0.04,0.0554687499999999,False,False
g-n5-m14-c06a97dd7192695f,5,14,0.84,0.8144921875,0.88,0.8618359375,0.77,0.82352294921875,0.04,0.04734375,False,False
g-n5-m15-a8bbf226519a348c,5,15,0.82,0.81650390625,0.82,0.869150390625,0.805,0.82603271484375,0.0,0.0526464843749999,False,True
g-n5-m15-a6667fec2a091214,5,15,0.74,0.806103515625,0.84,0.859482421875,0.82,0.81913330078125,0.0999999999999999,0.0533789062499999,False,False
g-n8-m10-2db97973749ad80b,8,10,0.86,0.810146484375,0.9,0.865615234375,0.84,0.8515108816964285,0.04,0.0554687499999999,False,False
g-n8-m10-67eb75e3fc6a1ccb,8,10,0.82,0.82064453125,0.84,0.86326171875,0.8,0.8208551897321429,0.02,0.0426171874999999,False,False
g-n8-m13-fa3cdc844862b71d,8,13,0.82,0.807626953125,0.86,0.868193359375,0.8114285714285714,0.8417954799107142,0.04,0.0605664062499999,False,False
g-n8-m16-e5f885ea1be2fb5a,8,16,0.82,0.802548828125,0.84,0.869580078125,0.8314285714285714,0.8504757254464286,0.02,0.0670312500000001,False,False
g-n8-m19-a646ceca317be9be,8,19,0.82,0.798857421875,0.86,0.853603515625,0.8171428571428572,0.8441782924107143,0.04,0.05474609375,False,False
g-n8-m19-1a4b776b3a6f016c,8,19,0.8,0.803271484375,0.88,0.860576171875,0.82,0.839765625,0.0799999999999999,0.0573046875,False,False
g-n8-m25-87eb24130c55ccf7,8,25,0.82,0.811650390625,0.86,0.876201171875,0.8342857142857143,0.8566615513392857,0.04,0.06455078125,False,True
g-n8-m25-684be7568a668758,8,25,0.8,0.808583984375,0.9,0.8762109375,0.8314285714285714,0.8561244419642857,0.0999999999999999,0.067626953125,False,True
g-n8-m31-b4d4243af1a1eeab,8,31,0.82,0.8100390625,0.9,0.8729296875,0.8285714285714286,0.8558747209821429,0.08,0.0628906249999999,False,False
g-n8-m31-a10861379ef9efac,8,31,0.86,0.80513671875,0.86,0.88130859375,0.8742857142857143,0.8557268415178572,0.0,0.076171875,True,True
g-n8-m31-d5b6b3946c383e31,8,31,0.8,0.8145703125,0.84,0.871787109375,0.8514285714285714,0.8590987723214286,0.0399999999999999,0.057216796875,False,True
g-n8-m37-7213278c94fd6363,8,37,0.84,0.803115234375,0.92,0.871806640625,0.8457142857142858,0.8557407924107143,0.08,0.06869140625,False,False
g-n8-m37-d246bdcd0ae6a580,8,37,0.86,0.80498046875,0.9,0.8696875,0.8285714285714286,0.85564453125,0.04,0.0647070312499999,False,False
g-n8-m43-a63da4f78c7c2e05,8,43,0.82,0.804326171875,0.88,0.874404296875,0.8342857142857143,0.8542103794642857,0.06,0.0700781249999999,False,False
g-n8-m46-882757ed4139671d,8,46,0.82,0.81001953125,0.88,0.87779296875,0.8514285714285714,0.8522084263392857,0.06,0.0677734374999999,False,False
g-n5-m4-c6e52ba27b1b18e6,5,4,0.76,0.807802734375,0.8,0.85369140625,0.75,0.81941162109375,0.04,0.0458886718749999,False,False
g-n5-m4-4f2bac78f886f098,5,4,0.84,0.805361328125,0.9,0.8353515625,0.785,0.75484619140625,0.06,0.0299902343749999,False,False
g-n5-m4-576b0cb2721a2965,5,4,0.74,0.805791015625,0.86,0.847021484375,0.835,0.8179345703125,0.12,0.04123046875,False,False
g-n5-m5-b2bcf272e1187468,5,5,0.84,0.8063671875,0.84,0.851123046875,0.78,0.8148876953125,0.0,0.0447558593749999,False,False
g-n5-m8-7a24376214aa7a72,5,8,0.82,0.808173828125,0.86,0.849375,0.775,0.816513671875,0.04,0.0412011718749999,False,False
g-n5-m13-4748994674215e8f,5,13,0.82,0.81138671875,0.84,0.873408203125,0.835,0.8134326171875,0.02,0.0620214843749999,False,True
g-n5-m13-1c600b2d073433c5,5,13,0.84,0.8053125,0.8,0.8601171875,0.84,0.8062158203125,-0.0399999999999999,0.0548046875,False,False
g-n5-m14-361455f3add11201,5,14,0.82,0.807080078125,0.82,0.86541015625,0.825,0.81684326171875,0.0,0.0583300781249999,False,False
g-n5-m14-dd245bf473f4e925,5,14,0.76,0.800244140625,0.86,0.85958984375,0.835,0.81914306640625,0.0999999999999999,0.0593457031249999,False,False
g-n5-m15-e7e7f86c3164d6e4,5,15,0.78,0.8048828125,0.82,0.865224609375,0.83,0.81707763671875,0.0399999999999999,0.0603417968749999,False,False
g-n8-m7-bda1d986a0ca576f,8,7,0.8,0.813291015625,0.82,0.85474609375,0.7885714285714286,0.8356012834821429,0.0199999999999999,0.041455078125,False,False
g-n8-m10-22622dfa1d3ff4c2,8,10,0.8,0.80734375,0.82,0.864326171875,0.8314285714285714,0.8518275669642857,0.0199999999999999,0.056982421875,False,False
g-n8-m16-1c844249a5b3fe36,8,16,0.8,0.812294921875,0.92,0.873193359375,0.8257142857142857,0.8544852120535714,0.12,0.0608984375,False,False
g-n8-m16-e41ef0771ad9b33a,8,16,0.78,0.809228515625,0.84,0.870234375,0.8457142857142858,0.858056640625,0.0599999999999999,0.061005859375,False,False
g-n8-m19-76ed536abf59bdca,8,19,0.82,0.8067578125,0.82,0.854716796875,0.7857142857142857,0.8375962611607143,0.0,0.047958984375,False,False
g-n8-m22-41508af0836807fd,8,22,0.8,0.7997265625,0.88,0.86513671875,0.8514285714285714,0.8492996651785715,0.0799999999999999,0.06541015625,False,False
g-n8-m22-df0ab663a19cc028,8,22,0.82,0.8069921875,0.9,0.87009765625,0.8371428571428572,0.8540569196428571,0.08,0.06310546875,False,False
g-n8-m25-04639ef4c079cf8c,8,25,0.76,0.807353515625,0.88,0.859951171875,0.8314285714285714,0.8371233258928571,0.12,0.05259765625,False,False
g-n8-m34-02f09b4b2a7831ec,8,34,0.84,0.80724609375,0.88,0.87388671875,0.8228571428571428,0.8497865513392857,0.04,0.066640625,False,False
g-n8-m37-b47b46aa50496462,8,37,0.84,0.813173828125,0.86,0.87822265625,0.8428571428571429,0.8521344866071429,0.02,0.0650488281249999,False,False
g-n8-m40-ed9bc4377541f101,8,40,0.8,0.803642578125,0.92,0.87609375,0.8514285714285714,0.8495786830357143,0.12,0.072451171875,False,False
g-n8-m43-cb8a332d2e13ea24,8,43,0.8,0.80552734375,0.84,0.870390625,0.8228571428571428,0.8497042410714286,0.0399999999999999,0.0648632812499999,False,False
g-n8-m43-ec32380866a280d5,8,43,0.82,0.802578125,0.86,0.87345703125,0.8514285714285714,0.847451171875,0.04,0.0708789062499999,False,False
g-n8-m46-1aa936aecfa50aa1,8,46,0.86,0.802841796875,0.86,0.879755859375,0.8628571428571429,0.8424874441964286,0.0,0.0769140624999999,False,False
g-n5-m4-c6cf27212181ff09,5,4,0.84,0.807861328125,0.76,0.844375,0.73,0.76396240234375,-0.0799999999999999,0.0365136718749999,False,False
g-n5-m5-7094464d0272b0ed,5,5,0.8,0.81236328125,0.84,0.86501953125,0.83,0.836640625,0.0399999999999999,0.0526562499999999,False,True
g-n5-m7-a57f54d0906ca0e2,5,7,0.74,0.816357421875,0.84,0.845224609375,0.75,0.766845703125,0.0999999999999999,0.0288671874999999,False,False
g-n5-m7-13d328e60c568519,5,7,0.78,0.8057421875,0.82,0.84654296875,0.755,0.81039794921875,0.0399999999999999,0.0408007812499999,False,False
g-n5-m9-690aae469e9d3b78,5,9,0.84,0.805927734375,0.88,0.84328125,0.76,0.76834228515625,0.04,0.037353515625,False,False
g-n5-m9-37148a95c8b91a77,5,9,0.8,0.809677734375,0.84,0.839033203125,0.75,0.7616455078125,0.0399999999999999,0.0293554687499999,False,False
g-n5-m9-072e683197de22a4,5,9,0.84,0.810966796875,0.82,0.8638671875,0.79,0.8102099609375,-0.02,0.052900390625,False,False
g-n5-m11-827e28e019f415b6,5,11,0.9,0.8028515625,0.86,0.85755859375,0.775,0.8016796875,-0.04,0.0547070312499999,False,False
g-n5-m11-fb5c958beca29671,5,11,0.84,0.805068359375,0.8,0.8524609375,0.79,0.81152587890625,-0.0399999999999999,0.0473925781249999,False,False
g-n5-m12-e1817f87d1acc7f0,5,12,0.82,0.8133984375,0.82,0.857080078125,0.805,0.8095849609375,0.0,0.043681640625,False,False
g-n5-m12-7c56b9ac34672629,5,12,0.82,0.80896484375,0.88,0.866015625,0.84,0.82327392578125,0.06,0.0570507812499999,False,False
g-n5-m12-53d979de59be7198,5,12,0.72,0.809375,0.82,0.8558203125,0.82,0.826220703125,0.0999999999999999,0.0464453125,False,False
g-n5-m13-b00ca677c07e54ce,5,13,0.8,0.803330078125,0.9,0.86162109375,0.795,0.80107421875,0.0999999999999999,0.0582910156249999,False,False
g-n5-m15-f6796dcf43006e7d,5,15,0.84,0.80677734375,0.86,0.8642578125,0.785,0.8201513671875,0.02,0.05748046875,False,False
g-n8-m22-1117dca70d34f871,8,22,0.76,0.807900390625,0.88,0.865126953125,0.8257142857142857,0.8499665178571428,0.12,0.0572265625,False,False
g-n8-m22-5344f91af2bf1017,8,22,0.82,0.809716796875,0.86,0.8606640625,0.8371428571428572,0.8386746651785715,0.04,0.050947265625,False,False
g-n8-m25-cecc9507b2dea144,8,25,0.78,0.814599609375,0.94,0.881357421875,0.86,0.8498200334821429,0.1599999999999999,0.0667578125,True,True
g-n8-m25-c2b9d29e30e3f1ba,8,25,0.86,0.80388671875,0.86,0.861630859375,0.8228571428571428,0.8532938058035714,0.0,0.0577441406249999,False,False
g-n8-m28-b8bbb817c6b1ec73,8,28,0.78,0.809921875,0.86,0.87140625,0.8485714285714285,0.856865234375,0.0799999999999999,0.061484375,False,False
g-n8-m34-551922bc72bb999b,8,34,0.8,0.8005078125,0.9,0.874267578125,0.8542857142857143,0.8517550223214285,0.0999999999999999,0.0737597656249999,False,False
g-n8-m34-9ca879933e081add,8,34,0.8,0.798466796875,0.9,0.872275390625,0.86,0.8459165736607143,0.0999999999999999,0.07380859375,False,False
g-n8-m40-d6f822c738d06821,8,40,0.86,0.804892578125,0.9,0.87568359375,0.8342857142857143,0.8481459263392858,0.04,0.070791015625,False,False
g-n8-m43-b5a47e05c438ba9d,8,43,0.76,0.802255859375,0.88,0.871162109375,0.8371428571428572,0.8424776785714285,0.12,0.06890625,False,False
g-n8-m43-ee6d762392248578,8,43,0.82,0.804150390625,0.82,0.87322265625,0.8542857142857143,0.8428445870535715,0.0,0.0690722656249999,False,False
g-n8-m46-868c300c8e493271,8,46,0.84,0.79763671875,0.88,0.873740234375,0.8457142857142858,0.8357017299107142,0.04,0.076103515625,False,False
g-n8-m46-25c06e72baeccf3b,8,46,0.78,0.81173828125,0.92,0.877724609375,0.8457142857142858,0.8364620535714286,0.14,0.0659863281249999,False,False
g-n8-m49-8154cd6151751faf,8,49,0.82,0.801484375,0.86,0.8725390625,0.8628571428571429,0.8348953683035715,0.04,0.0710546874999999,False,False
